Date,Name,Year,Letterboxd URI
2022-05-12,Scooby-Doo 2: Monsters Unleashed,2004,https://boxd.it/1UPA
2022-05-12,Chicago,2002,https://boxd.it/28zm
2022-05-21,House of Gucci,2021,https://boxd.it/nVkC
2022-05-27,The Matrix,1999,https://boxd.it/2a1m
2022-05-27,Stand by Me,1986,https://boxd.it/2aOe
2022-05-27,Pee-wee's Big Holiday,2016,https://boxd.it/bFpW
2022-05-29,The Ring,2002,https://boxd.it/2a70
2022-06-19,The Muppet Movie,1979,https://boxd.it/1UrS
2022-06-21,Muppet Treasure Island,1996,https://boxd.it/1VaS
2022-06-24,The Muppets Take Manhattan,1984,https://boxd.it/1SP4
2022-06-24,Muppets Haunted Mansion,2021,https://boxd.it/vaTw
2022-07-11,Thor: Love and Thunder,2022,https://boxd.it/mMAY
2022-07-12,Girl in the Picture,2022,https://boxd.it/BkBk
2022-07-24,Minions: The Rise of Gru,2022,https://boxd.it/fz9w
2022-08-17,Licorice Pizza,2021,https://boxd.it/qTKY
2022-08-20,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2022-08-21,On the Count of Three,2021,https://boxd.it/tbfI
2022-08-23,Incarnate,2016,https://boxd.it/75Ye
2022-08-28,Catch Me If You Can,2002,https://boxd.it/29VS
2022-09-01,Our Father,2022,https://boxd.it/Am5e
2022-09-20,Elvis,2022,https://boxd.it/mK4w
2022-09-25,Don't Worry Darling,2022,https://boxd.it/mViu
2022-09-26,Pearl,2022,https://boxd.it/zPbe
2022-10-04,Dahmer – Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0
2022-10-05,X,2022,https://boxd.it/sxVa
2022-11-26,Eyes Wide Shut,1999,https://boxd.it/2axs
2022-11-27,Weird: The Al Yankovic Story,2022,https://boxd.it/yYZA
2022-11-30,My Policeman,2022,https://boxd.it/rVmQ
2022-12-09,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2022-12-19,Home Alone,1990,https://boxd.it/29Fg
2022-12-23,The Muppet Christmas Carol,1992,https://boxd.it/1WgC
2022-12-24,Glass Onion,2022,https://boxd.it/oCkK
2022-12-25,How the Grinch Stole Christmas!,1966,https://boxd.it/1Qj6
2022-12-25,BoJack Horseman Christmas Special,2014,https://boxd.it/lm6c
2022-12-25,Scrooged,1988,https://boxd.it/1Y9e
2023-01-01,Nope,2022,https://boxd.it/sDCe
2023-01-03,Amsterdam,2022,https://boxd.it/oJ58
2023-01-07,M3GAN,2022,https://boxd.it/jxmG
2023-01-16,Jennifer's Body,2009,https://boxd.it/1Efw
2023-01-27,Skinamarink,2022,https://boxd.it/ByDO
2023-01-28,The Lobster,2015,https://boxd.it/7tnw
2023-02-04,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-02-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-02-09,80 for Brady,2023,https://boxd.it/zz3e
2023-02-11,Infinity Pool,2023,https://boxd.it/oPSK
2023-02-26,Cocaine Bear,2023,https://boxd.it/ugw2
2023-03-03,Rango,2011,https://boxd.it/QPk
2023-04-08,Shark Tale,2004,https://boxd.it/1VYe
2023-04-15,Renfield,2023,https://boxd.it/o8vy
2023-05-01,Beau Is Afraid,2023,https://boxd.it/u2gE
2023-06-15,The Jinx: The Life and Deaths of Robert Durst,2015,https://boxd.it/aqAe
2023-06-15,I'll Be Gone in the Dark,2020,https://boxd.it/qX9s
2023-06-15,Thought Crimes,2015,https://boxd.it/aZkg
2023-06-16,The Curious Case of Natalia Grace,2023,https://boxd.it/GY4g
2023-06-19,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-19,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi
2023-06-19,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg
